Year,Value
188001,-0.32
188002,-0.72
188003,-0.76
188004,-0.43
188005,-0.25
188006,-0.19
188007,-0.29
188008,-0.24
188009,-0.47
188010,-0.73
188011,-0.92
188012,-0.59
188101,-0.55
188102,-0.5
188103,-0.24
188104,-0.14
188105,-0.07
188106,-0.55
188107,-0.32
188108,-0.11
188109,-0.47
188110,-0.86
188111,-0.98
188112,-0.27
188201,0.01
188202,-0.25
188203,-0.22
188204,-0.77
188205,-0.58
188206,-0.54
188207,-0.5
188208,-0.05
188209,-0.29
188210,-0.84
188211,-0.57
188212,-0.73
188301,-1.27
188302,-1.45
188303,-0.67
188304,-0.72
188305,-0.57
188306,-0.01
188307,-0.35
188308,-0.36
188309,-0.52
188310,-0.71
188311,-0.85
188312,-0.47
188401,-0.56
188402,-0.84
188403,-0.94
188404,-0.8
188405,-0.6
188406,-0.49
188407,-0.73
188408,-0.63
188409,-0.77
188410,-0.67
188411,-0.89
188412,-0.57
188501,-1.43
188502,-0.8
188503,-0.5
188504,-0.64
188505,-0.6
188506,-0.6
188507,-0.5
188508,-0.58
188509,-0.48
188510,-0.46
188511,-0.26
188512,0.23
188601,-0.53
188602,-0.99
188603,-0.75
188604,-0.35
188605,-0.42
188606,-0.46
188607,-0.2
188608,-0.34
188609,-0.37
188610,-0.77
188611,-0.7
188612,0.09
188701,-1.13
188702,-0.91
188703,-0.3
188704,-0.46
188705,-0.2
188706,-0.46
188707,-0.32
188708,-0.52
188709,-0.22
188710,-0.67
188711,-0.25
188712,-0.18
188801,-0.79
188802,-0.74
188803,-0.78
188804,-0.15
188805,-0.42
188806,-0.37
188807,-0.18
188808,-0.43
188809,-0.26
188810,-0.13
188811,-0.38
188812,-0.2
188901,-0.63
188902,-0.05
188903,0.16
188904,0.24
188905,-0.24
188906,-0.2
188907,-0.19
188908,-0.2
188909,-0.36
188910,-0.56
188911,-0.84
188912,-0.29
189001,-0.66
189002,-0.61
189003,-0.52
189004,-0.27
189005,-0.7
189006,-0.33
189007,-0.12
189008,-0.36
189009,-0.45
189010,-0.32
189011,-0.84
189012,-0.52
189101,-0.82
189102,-1.31
189103,-0.34
189104,-0.54
189105,-0.41
189106,-0.47
189107,-0.34
189108,-0.41
189109,-0.23
189110,-0.7
189111,-0.87
189112,0.11
189201,-0.59
189202,-0.28
189203,-0.61
189204,-0.72
189205,-0.44
189206,-0.27
189207,-0.32
189208,-0.33
189209,-0.24
189210,-0.22
189211,-1.07
189212,-0.75
189301,-1.92
189302,-1.63
189303,-0.24
189304,-0.53
189305,-0.54
189306,-0.29
189307,-0.14
189308,-0.36
189309,-0.18
189310,-0.3
189311,-0.1
189312,-0.32
189401,-0.79
189402,-0.11
189403,-0.1
189404,-0.65
189405,-0.32
189406,-0.48
189407,-0.39
189408,-0.38
189409,-0.41
189410,-0.48
189411,-0.63
189412,-0.37
189501,-1.17
189502,-0.97
189503,-0.4
189504,-0.08
189505,-0.39
189506,-0.38
189507,-0.29
189508,-0.38
189509,-0.22
189510,-0.22
189511,-0.32
189512,-0.19
189601,-0.24
189602,-0.26
189603,-0.72
189604,-0.8
189605,-0.25
189606,-0.17
189607,-0.14
189608,-0.16
189609,-0.26
189610,-0.05
189611,-0.93
189612,-0.27
189701,-0.68
189702,-0.59
189703,-0.88
189704,-0.01
189705,0.07
189706,-0.14
189707,0.07
189708,-0.1
189709,0.05
189710,-0.22
189711,-0.39
189712,-0.5
189801,0.25
189802,-0.66
189803,-1.62
189804,-0.58
189805,-0.49
189806,-0.15
189807,-0.28
189808,-0.18
189809,-0.27
189810,-0.72
189811,-0.49
189812,0.19
189901,-0.08
189902,-0.72
189903,-0.68
189904,-0.07
189905,-0.22
189906,-0.48
189907,-0.26
189908,-0.22
189909,0.02
189910,-0.04
189911,0.62
189912,-0.66
190001,-1.05
190002,-0.35
190003,-0.02
190004,-0.27
190005,0.05
190006,0.01
190007,-0.18
190008,-0.02
190009,-0.1
190010,0.27
190011,-0.36
190012,0.19
190101,-0.42
190102,-0.23
190103,0.16
190104,0.06
190105,-0.09
190106,0.06
190107,0.07
190108,0
190109,-0.19
190110,-0.46
190111,-0.12
190112,-0.4
190201,0.17
190202,0.42
190203,-0.27
190204,-0.55
190205,-0.33
190206,-0.28
190207,-0.23
190208,-0.29
190209,-0.28
190210,-0.55
190211,-0.75
190212,-0.83
190301,-0.19
190302,0.29
190303,-0.27
190304,-0.48
190305,-0.54
190306,-0.46
190307,-0.39
190308,-0.37
190309,-0.41
190310,-0.66
190311,-0.56
190312,-0.64
190401,-0.88
190402,-0.66
190403,-0.75
190404,-0.58
190405,-0.3
190406,-0.38
190407,-0.51
190408,-0.35
190409,-0.52
190410,-0.52
190411,0.38
190412,-0.09
190501,-0.3
190502,-1.32
190503,-0.71
190504,-0.7
190505,-0.26
190506,-0.23
190507,-0.21
190508,-0.16
190509,-0.14
190510,-0.26
190511,0.27
190512,0.08
190601,-0.25
190602,-0.61
190603,-0.28
190604,0.21
190605,0.04
190606,0.04
190607,-0.15
190608,-0.16
190609,-0.23
190610,-0.23
190611,-0.51
190612,0.14
190701,-0.66
190702,-0.88
190703,-0.53
190704,-0.78
190705,-0.89
190706,-0.65
190707,-0.46
190708,-0.38
190709,-0.36
190710,-0.24
190711,-0.82
190712,-0.63
190801,-0.32
190802,-0.42
190803,-1.04
190804,-0.58
190805,-0.24
190806,-0.25
190807,-0.18
190808,-0.41
190809,-0.14
190810,-0.53
190811,-0.64
190812,-0.35
190901,-0.95
190902,-0.5
190903,-0.64
190904,-0.94
190905,-0.64
190906,-0.42
190907,-0.38
190908,-0.11
190909,-0.17
190910,-0.17
190911,0.25
190912,-0.27
191001,-0.16
191002,-0.36
191003,-0.56
191004,-0.22
191005,-0.23
191006,-0.22
191007,-0.02
191008,-0.17
191009,-0.32
191010,-0.47
191011,-0.61
191012,-0.82
191101,-0.79
191102,-0.74
191103,-0.86
191104,-0.58
191105,-0.48
191106,-0.44
191107,-0.4
191108,-0.4
191109,-0.4
191110,-0.29
191111,-0.19
191112,-0.26
191201,-0.42
191202,-0.05
191203,-0.82
191204,-0.32
191205,-0.15
191206,-0.12
191207,-0.53
191208,-0.65
191209,-0.75
191210,-0.93
191211,-0.51
191212,-0.53
191301,-0.5
191302,-0.79
191303,-0.77
191304,-0.38
191305,-0.56
191306,-0.42
191307,-0.18
191308,-0.12
191309,-0.28
191310,-0.35
191311,0.12
191312,0.43
191401,0.82
191402,0.05
191403,-0.18
191404,-0.3
191405,0.07
191406,0
191407,-0.22
191408,-0.26
191409,-0.19
191410,-0.07
191411,-0.24
191412,-0.22
191501,-0.3
191502,0.09
191503,-0.2
191504,0.2
191505,0.03
191506,-0.19
191507,0.01
191508,-0.11
191509,-0.26
191510,-0.47
191511,0.16
191512,0.01
191601,-0.17
191602,-0.28
191603,-0.6
191604,-0.35
191605,-0.38
191606,-0.56
191607,-0.35
191608,-0.42
191609,-0.4
191610,-0.4
191611,-0.56
191612,-1.18
191701,-0.52
191702,-0.89
191703,-1
191704,-0.64
191705,-0.95
191706,-0.56
191707,-0.24
191708,-0.36
191709,-0.28
191710,-0.7
191711,-0.15
191712,-1.28
191801,-0.64
191802,-0.65
191803,-0.45
191804,-0.76
191805,-0.79
191806,-0.48
191807,-0.41
191808,-0.41
191809,-0.21
191810,-0.02
191811,-0.33
191812,-0.88
191901,-0.61
191902,-0.21
191903,-0.53
191904,0.07
191905,-0.43
191906,-0.27
191907,-0.12
191908,-0.19
191909,-0.2
191910,-0.25
191911,-0.67
191912,-0.56
192001,-0.06
192002,-0.64
192003,-0.05
192004,-0.25
192005,-0.16
192006,-0.39
192007,-0.19
192008,-0.29
192009,-0.3
192010,-0.42
192011,-0.47
192012,-1.05
192101,0.21
192102,-0.15
192103,-0.25
192104,-0.15
192105,-0.14
192106,-0.01
192107,-0.06
192108,-0.42
192109,-0.23
192110,-0.19
192111,-0.35
192112,-0.05
192201,-0.66
192202,-0.71
192203,-0.11
192204,-0.03
192205,-0.26
192206,-0.12
192207,-0.17
192208,-0.32
192209,-0.34
